script,font_1,font_2,cosine_similarity,cosine_distance
Bengali,HindSiliguri-SemiBold,"NotoSansBengali[wdth,wght]",0.8682,0.1318
Bengali,Atma-Bold,TiroBangla-Italic,0.868,0.132
Bengali,Atma-Medium,Galada-Regular,0.8664,0.1336
Bengali,Atma-Medium,BalooDa2[wght],0.8662,0.1338
Bengali,HindSiliguri-SemiBold,TiroBangla-Italic,0.8655,0.1345
Bengali,Atma-SemiBold,BalooDa2[wght],0.8648,0.1352
Bengali,HindSiliguri-SemiBold,TiroBangla-Regular,0.8627,0.1373
Bengali,Mina-Bold,TiroBangla-Italic,0.8624,0.1376
Bengali,"AnekBangla[wdth,wght]","NotoSansBengali[wdth,wght]",0.8612,0.1388
Bengali,HindSiliguri-Bold,"NotoSansBengali[wdth,wght]",0.8612,0.1388
Bengali,Atma-Regular,TiroBangla-Italic,0.8607,0.1393
Bengali,Atma-Regular,HindSiliguri-Light,0.8588,0.1412
Bengali,Atma-Bold,BalooDa2[wght],0.8583,0.1417
Bengali,HindSiliguri-Bold,TiroBangla-Italic,0.8574,0.1426
Bengali,Alkatra[wght],Atma-Bold,0.8552,0.1448
Bengali,Atma-Medium,Mina-Bold,0.853,0.147
Bengali,Atma-Medium,HindSiliguri-Bold,0.8527,0.1473
Bengali,Alkatra[wght],"NotoSansBengali[wdth,wght]",0.8521,0.1479
Bengali,HindSiliguri-Bold,TiroBangla-Regular,0.8512,0.1488
Bengali,Galada-Regular,Mina-Regular,0.8506,0.1494
Bengali,"NotoSansBengaliUI[wdth,wght]",TiroBangla-Regular,0.8501,0.1499
Bengali,"AnekBangla[wdth,wght]",TiroBangla-Italic,0.8484,0.1516
Bengali,Galada-Regular,Mina-Bold,0.8479,0.1521
Bengali,Alkatra[wght],Atma-SemiBold,0.8471,0.1529
Bengali,"AnekBangla[wdth,wght]",TiroBangla-Regular,0.845,0.155
Bengali,Atma-Light,"NotoSansBengali[wdth,wght]",0.8447,0.1553
Bengali,Galada-Regular,"NotoSerifBengali[wdth,wght]",0.8431,0.1569
Bengali,"AnekBangla[wdth,wght]",Atma-Bold,0.8431,0.1569
Bengali,Atma-SemiBold,"NotoSansBengaliUI[wdth,wght]",0.8421,0.1579
Bengali,Atma-Light,Atma-SemiBold,0.8413,0.1587
Bengali,Alkatra[wght],Atma-Medium,0.8408,0.1592
Bengali,Atma-Medium,"NotoSansBengali[wdth,wght]",0.8401,0.1599
Bengali,Atma-Medium,"NotoSansBengaliUI[wdth,wght]",0.8397,0.1603
Bengali,BalooDa2[wght],Galada-Regular,0.8382,0.1618
Bengali,Atma-Regular,Lohit-Bengali,0.8381,0.1619
Bengali,"NotoSansBengali[wdth,wght]",TiroBangla-Regular,0.8378,0.1622
Bengali,"NotoSansBengaliUI[wdth,wght]",TiroBangla-Italic,0.8376,0.1624
Bengali,Atma-Regular,HindSiliguri-Regular,0.8372,0.1628
Bengali,Atma-Bold,"NotoSansBengaliUI[wdth,wght]",0.8366,0.1634
Bengali,Atma-SemiBold,"NotoSansBengali[wdth,wght]",0.8359,0.1641
Bengali,Atma-Regular,TiroBangla-Regular,0.8346,0.1654
Bengali,Atma-Regular,BalooDa2[wght],0.8333,0.1667
Bengali,"NotoSansBengali[wdth,wght]",TiroBangla-Italic,0.8313,0.1687
Bengali,Atma-Regular,"NotoSansBengali[wdth,wght]",0.8306,0.1694
Bengali,Atma-Light,TiroBangla-Italic,0.8299,0.1701
Bengali,"AnekBangla[wdth,wght]",Atma-SemiBold,0.8295,0.1705
Bengali,Alkatra[wght],TiroBangla-Regular,0.828,0.172
Bengali,Atma-Light,"NotoSerifBengali[wdth,wght]",0.8278,0.1722
Bengali,Atma-Regular,HindSiliguri-Medium,0.8265,0.1735
Bengali,Atma-Bold,Atma-Regular,0.8249,0.1751
Bengali,Atma-Regular,Mina-Regular,0.8241,0.1759
Bengali,Atma-Bold,"NotoSansBengali[wdth,wght]",0.8231,0.1769
Bengali,Atma-Light,"NotoSansBengaliUI[wdth,wght]",0.8223,0.1777
Bengali,Galada-Regular,"NotoSansBengaliUI[wdth,wght]",0.822,0.178
Bengali,"AnekBangla[wdth,wght]",Atma-Medium,0.8191,0.1809
Bengali,Atma-Regular,"NotoSansBengaliUI[wdth,wght]",0.8187,0.1813
Bengali,Galada-Regular,"NotoSansBengali[wdth,wght]",0.8149,0.1851
Bengali,"AnekBangla[wdth,wght]",Galada-Regular,0.8147,0.1853
Bengali,Atma-Regular,Galada-Regular,0.8123,0.1877
Bengali,Atma-Regular,HindSiliguri-SemiBold,0.8073,0.1927
Bengali,Atma-Light,HindSiliguri-Light,0.806,0.194
Bengali,Galada-Regular,TiroBangla-Regular,0.8048,0.1952
Bengali,Alkatra[wght],Atma-Regular,0.7951,0.2049
Bengali,Atma-Light,Lohit-Bengali,0.7948,0.2052
Bengali,Atma-Light,Galada-Regular,0.792,0.208
Bengali,Atma-Regular,Mina-Bold,0.7873,0.2127
Bengali,Atma-Regular,HindSiliguri-Bold,0.7864,0.2136
Bengali,Atma-Light,BalooDa2[wght],0.7805,0.2195
Bengali,Atma-Light,HindSiliguri-Regular,0.7792,0.2208
Bengali,Atma-Light,TiroBangla-Regular,0.7775,0.2225
Bengali,"AnekBangla[wdth,wght]",Atma-Regular,0.7751,0.2249
Bengali,Atma-Bold,Atma-Light,0.7688,0.2312
Bengali,Atma-Light,HindSiliguri-Medium,0.7682,0.2318
Bengali,Atma-Light,Mina-Regular,0.7643,0.2357
Bengali,Alkatra[wght],Atma-Light,0.758,0.242
Bengali,Atma-Light,HindSiliguri-SemiBold,0.7505,0.2495
Bengali,Atma-Light,Mina-Bold,0.7322,0.2678
Bengali,Atma-Light,HindSiliguri-Bold,0.7309,0.2691
Bengali,"AnekBangla[wdth,wght]",Atma-Light,0.7084,0.2916
