script,font_1,font_2,cosine_similarity,cosine_distance
Katakana,GothicA1-Light,GothicA1-Bold,0.9605,0.0395
Katakana,NotoSerifKR[wght],KaiseiTokumin-Regular,0.9603,0.0397
Katakana,NotoSerifHK[wght],KaiseiTokumin-Regular,0.9603,0.0397
Katakana,KaiseiTokumin-Regular,NotoSerifJP[wght],0.9603,0.0397
Katakana,TsukimiRounded-Light,LXGWWenKaiMonoTC-Light,0.9603,0.0397
Katakana,LXGWWenKaiTC-Light,TsukimiRounded-Light,0.9603,0.0397
Katakana,ZenMaruGothic-Bold,ZenMaruGothic-Regular,0.9602,0.0398
Katakana,ZenAntique-Regular,NotoSerifHK[wght],0.9601,0.0399
Katakana,NotoSerifKR[wght],ZenAntique-Regular,0.9601,0.0399
Katakana,ZenAntique-Regular,NotoSerifJP[wght],0.9601,0.0399
Katakana,IBMPlexSansJP-Regular,MPLUS1p-Bold,0.9601,0.0399
Katakana,IBMPlexSansJP-SemiBold,RoundedMplus1c-ExtraBold,0.9599,0.0401
Katakana,BIZUDMincho-Regular,ZenOldMincho-Black,0.9599,0.0401
Katakana,KleeOne-Regular,TsukimiRounded-Light,0.9598,0.0402
Katakana,ShipporiMincho-Regular,BatangChe-Regular,0.9597,0.0403
Katakana,KleeOne-Regular,ZenOldMincho-Medium,0.9597,0.0403
Katakana,MPLUSRounded1c-Light,BIZUDPGothic-Regular,0.9595,0.0405
Katakana,RoundedMplus1c-Light,BIZUDPGothic-Regular,0.9595,0.0405
Katakana,NotoSansTC[wght],Yomogi-Regular,0.9594,0.0406
Katakana,NotoSansSC[wght],Yomogi-Regular,0.9594,0.0406
Katakana,TsukimiRounded-Medium,ZenOldMincho-Medium,0.9594,0.0406
Katakana,NotoSansJP[wght],Yomogi-Regular,0.9594,0.0406
Katakana,IBMPlexSansJP-SemiBold,MPLUS1p-Black,0.9593,0.0407
Katakana,GothicA1-Regular,ChocolateClassicalSans-Regular,0.9593,0.0407
Katakana,RoundedMplus1c-Regular,MPLUS1p-Bold,0.9592,0.0408
Katakana,MPLUSRounded1c-Regular,MPLUS1p-Bold,0.9592,0.0408
Katakana,RoundedMplus1c-Regular,LINESeedJP-Regular,0.9591,0.0409
Katakana,LINESeedJP-Regular,MPLUSRounded1c-Regular,0.9591,0.0409
Katakana,IBMPlexSansJP-Regular,RocknRollOne-Regular,0.959,0.041
Katakana,NanumGothicCoding-Regular,Gulim-Regular,0.9589,0.0411
Katakana,KleeOne-SemiBold,NotoSerifJP[wght],0.9589,0.0411
Katakana,NotoSerifKR[wght],KleeOne-SemiBold,0.9589,0.0411
Katakana,NanumGothicCoding-Regular,GulimChe-Regular,0.9589,0.0411
Katakana,KleeOne-SemiBold,NotoSerifHK[wght],0.9589,0.0411
Katakana,TsukimiRounded-Medium,KleeOne-SemiBold,0.9588,0.0412
Katakana,RoundedMplus1c-ExtraBold,BIZUDGothic-Bold,0.9586,0.0414
Katakana,RoundedMplus1c-Bold,MPLUSRounded1c-Light,0.9586,0.0414
Katakana,RoundedMplus1c-Bold,RoundedMplus1c-Light,0.9586,0.0414
Katakana,ZenKakuGothicAntique-Medium,BIZUDPGothic-Regular,0.9585,0.0415
Katakana,KaiseiOpti-Regular,ZenKakuGothicNew-Medium,0.9584,0.0416
