script,font_1,font_2,cosine_similarity,cosine_distance
Cyrillic,MPLUS1p-Bold,"TikTokSans[opsz,slnt,wdth,wght]",0.9741,0.0259
Cyrillic,"NunitoSans[YTLC,opsz,wdth,wght]",Montserrat[wght],0.9739,0.0261
Cyrillic,Andika-Italic,IstokWeb-Italic,0.9738,0.0262
Cyrillic,JejuGothic-Regular,Ubuntu-Regular,0.9735,0.0265
Cyrillic,"NunitoSans[YTLC,opsz,wdth,wght]",Manrope[wght],0.9735,0.0265
Cyrillic,ZenOldMincho-Medium,BIZUDPMincho-Regular,0.9734,0.0266
Cyrillic,FiraSansExtraCondensed-Medium,FiraSansCondensed-Black,0.9733,0.0267
Cyrillic,"TikTokSans[opsz,slnt,wdth,wght]",Manrope[wght],0.9733,0.0267
Cyrillic,MPLUS1p-Bold,Ubuntu-Light,0.9732,0.0268
Cyrillic,Ubuntu-Light,Sansation-Light,0.9731,0.0269
Cyrillic,Philosopher-BoldItalic,SpectralSC-SemiBoldItalic,0.9731,0.0269
Cyrillic,Jost[wght],MPLUS1p-Bold,0.973,0.027
Cyrillic,"NotoSansMono[wdth,wght]",IosevkaCharon-Light,0.973,0.027
Cyrillic,Ubuntu-Light,Manrope[wght],0.9729,0.0271
Cyrillic,"OpenSans[wdth,wght]",Manrope[wght],0.9729,0.0271
Cyrillic,Andika-Italic,Ubuntu-LightItalic,0.9728,0.0272
Cyrillic,NotoSansTC[wght],MPLUS1p-Thin,0.9728,0.0272
Cyrillic,KaiseiDecol-Medium,BIZUDPMincho-Regular,0.9727,0.0273
Cyrillic,KaiseiOpti-Medium,BIZUDPMincho-Regular,0.9727,0.0273
Cyrillic,Lato-ExtraBoldItalic,FiraSans-MediumItalic,0.9725,0.0275
Cyrillic,JejuGothic-Regular,Arsenal-Bold,0.9725,0.0275
Cyrillic,Andika-BoldItalic,IstokWeb-Italic,0.9724,0.0276
Cyrillic,Gidole-Regular,NotoSansTC[wght],0.9723,0.0277
Cyrillic,MPLUS1p-Medium,FiraSans-Black,0.9723,0.0277
Cyrillic,Sansation-Light,Ubuntu-Regular,0.9722,0.0278
Cyrillic,"OpenSans[wdth,wght]",JejuGothic-Regular,0.9722,0.0278
Cyrillic,Play-Bold,JejuGothic-Regular,0.9722,0.0278
Cyrillic,Andika-Italic,"UbuntuSans-Italic[wdth,wght]",0.9718,0.0282
Cyrillic,GothicA1-Black,FiraSans-Black,0.9715,0.0285
Cyrillic,AlegreyaSC-BlackItalic,SpectralSC-ExtraBoldItalic,0.9714,0.0286
Cyrillic,Philosopher-BoldItalic,"SourceSerif4-Italic[opsz,wght]",0.9714,0.0286
