script,font_1,font_2,cosine_similarity,cosine_distance
Tamil,KarlaTamilInclined-Bold,MeeraInimai-Regular,0.9565,0.0435
Tamil,HindMadurai-Light,MuktaMalar-SemiBold,0.9565,0.0435
Tamil,KarlaTamilUpright-Regular,MuktaMalar-ExtraLight,0.9564,0.0436
Tamil,KarlaTamilInclined-Regular,Pavanam-Regular,0.9561,0.0439
Tamil,MuktaMalar-SemiBold,TiroTamil-Regular,0.9561,0.0439
Tamil,Coiny-Regular,HindMadurai-Bold,0.9561,0.0439
Tamil,MuktaMalar-ExtraLight,MuktaMalar-SemiBold,0.956,0.044
Tamil,MuktaMalar-SemiBold,"NotoSerifTamil[wdth,wght]",0.956,0.044
Tamil,BalooThambi2[wght],TiroTamil-Regular,0.9559,0.0441
Tamil,HindMadurai-Regular,MuktaMalar-Medium,0.9559,0.0441
Tamil,MeeraInimai-Regular,MuktaMalar-SemiBold,0.9556,0.0444
Tamil,HindMadurai-Bold,HindMadurai-Light,0.9555,0.0445
Tamil,"NotoSansTamil[wdth,wght]","NotoSerifTamil-Italic[wdth,wght]",0.9553,0.0447
Tamil,TiroTamil-Italic,TiroTamil-Regular,0.9552,0.0448
Tamil,Catamaran[wght],HindMadurai-Regular,0.9551,0.0449
Tamil,KarlaTamilUpright-Regular,MeeraInimai-Regular,0.9548,0.0452
Tamil,HindMadurai-SemiBold,MuktaMalar-ExtraBold,0.9544,0.0456
Tamil,KarlaTamilInclined-Regular,MeeraInimai-Regular,0.9543,0.0457
Tamil,MuktaMalar-Regular,"NotoSansTamil[wdth,wght]",0.9543,0.0457
Tamil,"AnekTamil[wdth,wght]",MuktaMalar-ExtraBold,0.9543,0.0457
Tamil,HindMadurai-Bold,MuktaMalar-ExtraBold,0.9542,0.0458
Tamil,MuktaMalar-ExtraBold,MuktaMalar-Light,0.9541,0.0459
Tamil,BalooThambi2[wght],KarlaTamilInclined-Regular,0.954,0.046
Tamil,HindMadurai-Light,MuktaMalar-Regular,0.9539,0.0461
Tamil,KarlaTamilInclined-Bold,MuktaMalar-Light,0.9539,0.0461
Tamil,KarlaTamilUpright-Regular,Pavanam-Regular,0.9537,0.0463
Tamil,HindMadurai-Medium,MuktaMalar-Bold,0.9537,0.0463
Tamil,Arima[wght],KarlaTamilInclined-Regular,0.9536,0.0464
Tamil,Arima[wght],MuktaMalar-Medium,0.9535,0.0465
Tamil,MeeraInimai-Regular,"NotoSerifTamil[wdth,wght]",0.9534,0.0466
Tamil,MeeraInimai-Regular,MuktaMalar-Bold,0.9534,0.0466
Tamil,MeeraInimai-Regular,MuktaMalar-ExtraBold,0.9528,0.0472
