script,font_1,font_2,cosine_similarity,cosine_distance
Telugu,NotoSerifTelugu[wght],Ponnala-Regular,0.9047,0.0953
Telugu,"NotoSansTelugu[wdth,wght]",NTR-Regular,0.9045,0.0955
Telugu,NTR-Regular,TiroTelugu-Regular,0.9038,0.0962
Telugu,Mallanna-Regular,SreeKrushnadevaraya-Regular,0.9038,0.0962
Telugu,LakkiReddy-Regular,"NotoSansTelugu[wdth,wght]",0.903,0.097
Telugu,HindGuntur-Regular,Mandali-Regular,0.9027,0.0973
Telugu,Ramabhadra-Regular,Suravaram-Regular,0.9026,0.0974
Telugu,HindGuntur-Light,Peddana-Regular,0.9025,0.0975
Telugu,TenaliRamakrishna-Regular,TiroTelugu-Regular,0.9025,0.0975
Telugu,HindGuntur-Medium,Ponnala-Regular,0.9024,0.0976
Telugu,HindGuntur-Light,NTR-Regular,0.9017,0.0983
Telugu,Gurajada-Regular,Suranna-Regular,0.9015,0.0985
Telugu,Suranna-Regular,Suravaram-Regular,0.9001,0.0999
Telugu,HindGuntur-Regular,Ponnala-Regular,0.9,0.1
Telugu,Mallanna-Regular,Peddana-Regular,0.8982,0.1018
Telugu,HindGuntur-SemiBold,Ponnala-Regular,0.8969,0.1031
Telugu,Mallanna-Regular,Suravaram-Regular,0.8964,0.1036
Telugu,HindGuntur-Light,TenaliRamakrishna-Regular,0.8962,0.1038
Telugu,Mallanna-Regular,Sirivennela-Regular,0.8959,0.1041
Telugu,NATS-Regular,Suranna-Regular,0.8956,0.1044
Telugu,HindGuntur-Regular,Peddana-Regular,0.8953,0.1047
Telugu,HindGuntur-Medium,Mandali-Regular,0.8949,0.1051
Telugu,"NotoSansTeluguUI[wdth,wght]",SreeKrushnadevaraya-Regular,0.8946,0.1054
Telugu,"NotoSansTelugu[wdth,wght]",SreeKrushnadevaraya-Regular,0.8945,0.1055
Telugu,Suravaram-Regular,TenaliRamakrishna-Regular,0.8942,0.1058
Telugu,HindGuntur-Medium,Peddana-Regular,0.8933,0.1067
Telugu,HindGuntur-SemiBold,LakkiReddy-Regular,0.8931,0.1069
Telugu,HindGuntur-Medium,LakkiReddy-Regular,0.8931,0.1069
Telugu,BalooTammudu2[wght],Mandali-Regular,0.893,0.107
Telugu,SreeKrushnadevaraya-Regular,TiroTelugu-Regular,0.8929,0.1071
Telugu,Gidugu-Regular,Suravaram-Regular,0.8927,0.1073
Telugu,NTR-Regular,SreeKrushnadevaraya-Regular,0.8925,0.1075
Telugu,Mallanna-Regular,TenaliRamakrishna-Regular,0.8918,0.1082
Telugu,LakkiReddy-Regular,NotoSerifTelugu[wght],0.8918,0.1082
Telugu,NTR-Regular,Peddana-Regular,0.8917,0.1083
Telugu,NATS-Regular,SreeKrushnadevaraya-Regular,0.8917,0.1083
Telugu,Sirivennela-Regular,Suravaram-Regular,0.8916,0.1084
Telugu,Ramabhadra-Regular,Timmana-Regular,0.8916,0.1084
Telugu,Mallanna-Regular,Ramaraja-Regular,0.8913,0.1087
Telugu,Ponnala-Regular,Suranna-Regular,0.8911,0.1089
Telugu,Peddana-Regular,TiroTelugu-Italic,0.8909,0.1091
Telugu,"NotoSansTeluguUI[wdth,wght]",TenaliRamakrishna-Regular,0.8909,0.1091
Telugu,"NotoSansTelugu[wdth,wght]",TenaliRamakrishna-Regular,0.8901,0.1099
Telugu,AkayaTelivigala-Regular,Ponnala-Regular,0.8895,0.1105
Telugu,AkayaTelivigala-Regular,Timmana-Regular,0.8882,0.1118
Telugu,HindGuntur-Light,SreeKrushnadevaraya-Regular,0.888,0.112
Telugu,AkayaTelivigala-Regular,LakkiReddy-Regular,0.8872,0.1128
Telugu,HindGuntur-Bold,LakkiReddy-Regular,0.8871,0.1129
Telugu,HindGuntur-SemiBold,Peddana-Regular,0.8867,0.1133
Telugu,HindGuntur-SemiBold,Mandali-Regular,0.8866,0.1134
Telugu,NTR-Regular,TenaliRamakrishna-Regular,0.8864,0.1136
Telugu,"AnekTelugu[wdth,wght]",Mandali-Regular,0.8862,0.1138
Telugu,"NotoSansTeluguUI[wdth,wght]",Timmana-Regular,0.8855,0.1145
Telugu,HindGuntur-Light,LakkiReddy-Regular,0.8853,0.1147
Telugu,HindGuntur-Regular,LakkiReddy-Regular,0.8852,0.1148
Telugu,NTR-Regular,Suravaram-Regular,0.8851,0.1149
Telugu,HindGuntur-Bold,Ponnala-Regular,0.885,0.115
Telugu,LakkiReddy-Regular,TiroTelugu-Italic,0.8845,0.1155
Telugu,LakkiReddy-Regular,TenaliRamakrishna-Regular,0.884,0.116
Telugu,HindGuntur-Regular,NTR-Regular,0.8839,0.1161
Telugu,HindGuntur-Medium,NTR-Regular,0.8835,0.1165
Telugu,"AnekTelugu[wdth,wght]",Peddana-Regular,0.8834,0.1166
Telugu,Suranna-Regular,TiroTelugu-Regular,0.883,0.117
Telugu,BalooTammudu2[wght],Peddana-Regular,0.8828,0.1172
Telugu,AkayaTelivigala-Regular,"NotoSansTeluguUI[wdth,wght]",0.8827,0.1173
Telugu,BalooTammudu2[wght],LakkiReddy-Regular,0.8824,0.1176
Telugu,Ponnala-Regular,TiroTelugu-Italic,0.8822,0.1178
Telugu,HindGuntur-Light,Ramaraja-Regular,0.8818,0.1182
Telugu,"NotoSansTelugu[wdth,wght]",Timmana-Regular,0.8818,0.1182
Telugu,NTR-Regular,Ramaraja-Regular,0.8817,0.1183
Telugu,HindGuntur-Regular,TenaliRamakrishna-Regular,0.8816,0.1184
Telugu,AkayaTelivigala-Regular,TiroTelugu-Regular,0.8815,0.1185
Telugu,Dhurjati-Regular,Suranna-Regular,0.8808,0.1192
Telugu,LakkiReddy-Regular,Timmana-Regular,0.8807,0.1193
Telugu,"AnekTelugu[wdth,wght]",LakkiReddy-Regular,0.8805,0.1195
Telugu,Ramaraja-Regular,Suravaram-Regular,0.8803,0.1197
Telugu,Gidugu-Regular,Ramaraja-Regular,0.88,0.12
Telugu,NTR-Regular,Ponnala-Regular,0.8795,0.1205
Telugu,BalooTammudu2[wght],Ponnala-Regular,0.8793,0.1207
Telugu,AkayaTelivigala-Regular,SreeKrushnadevaraya-Regular,0.8787,0.1213
Telugu,HindGuntur-Medium,Ramaraja-Regular,0.878,0.122
Telugu,Dhurjati-Regular,RaviPrakash-Regular,0.8778,0.1222
Telugu,AkayaTelivigala-Regular,"NotoSansTelugu[wdth,wght]",0.8777,0.1223
Telugu,Peddana-Regular,Suravaram-Regular,0.8776,0.1224
Telugu,HindGuntur-Regular,Ramaraja-Regular,0.8776,0.1224
Telugu,LakkiReddy-Regular,SreeKrushnadevaraya-Regular,0.8775,0.1225
Telugu,Gidugu-Regular,Peddana-Regular,0.877,0.123
Telugu,NotoSerifTelugu[wght],Timmana-Regular,0.8768,0.1232
Telugu,Timmana-Regular,TiroTelugu-Regular,0.8764,0.1236
Telugu,Mallanna-Regular,Timmana-Regular,0.8761,0.1239
Telugu,Gurajada-Regular,SreeKrushnadevaraya-Regular,0.876,0.124
Telugu,HindGuntur-Light,Timmana-Regular,0.8758,0.1242
Telugu,NATS-Regular,Timmana-Regular,0.8758,0.1242
Telugu,HindGuntur-SemiBold,Ramaraja-Regular,0.875,0.125
Telugu,RaviPrakash-Regular,Suravaram-Regular,0.8748,0.1252
Telugu,"AnekTelugu[wdth,wght]",Timmana-Regular,0.8745,0.1255
Telugu,Ramaraja-Regular,TiroTelugu-Italic,0.8743,0.1257
Telugu,HindGuntur-SemiBold,NTR-Regular,0.8742,0.1258
Telugu,Ramabhadra-Regular,Ramaraja-Regular,0.874,0.126
Telugu,"NotoSansTelugu[wdth,wght]",Suranna-Regular,0.8739,0.1261
Telugu,HindGuntur-Regular,SreeKrushnadevaraya-Regular,0.8735,0.1265
Telugu,"NotoSansTeluguUI[wdth,wght]",Suranna-Regular,0.8735,0.1265
