script,font_1,font_2,cosine_similarity,cosine_distance
Arabic,IBMPlexSansArabic-Medium,Tajawal-Bold,0.9395,0.0605
Arabic,BonaNova-Italic,ScheherazadeNew-SemiBold,0.9394,0.0606
Arabic,BonaNovaSC-Italic,ScheherazadeNew-SemiBold,0.9394,0.0606
Arabic,Tajawal-Regular,Vazirmatn[wght],0.9393,0.0607
Arabic,Rubik-Italic[wght],Tajawal-Light,0.9393,0.0607
Arabic,Tajawal-Light,Rubik[wght],0.9393,0.0607
Arabic,Tajawal-Light,IBMPlexSansArabic-ExtraLight,0.9393,0.0607
Arabic,Tajawal-Bold,Almarai-Bold,0.9393,0.0607
Arabic,Tajawal-Medium,Zain-ExtraBold,0.9391,0.0609
Arabic,Zain-Light,Tajawal-Regular,0.9389,0.0611
Arabic,NotoNaskhArabicUI[wght],Rubik[wght],0.9388,0.0612
Arabic,Rubik-Italic[wght],NotoNaskhArabicUI[wght],0.9388,0.0612
Arabic,Zain-Light,Zain-Black,0.9388,0.0612
Arabic,BonaNovaSC-Bold,Alyamama[wght],0.9388,0.0612
Arabic,IBMPlexSansArabic-Medium,Alyamama[wght],0.9387,0.0613
Arabic,Zain-Light,Zain-Italic,0.9387,0.0613
Arabic,"NotoSansArabicUI[wdth,wght]",Alyamama[wght],0.9386,0.0614
Arabic,Alyamama[wght],Amiri-Bold,0.9385,0.0615
Arabic,Almarai-ExtraBold,IBMPlexSansArabic-Bold,0.9385,0.0615
Arabic,Tajawal-Light,IBMPlexSansArabic-Light,0.9384,0.0616
Arabic,Marhey[wght],PlaypenSansArabic[wght],0.9384,0.0616
Arabic,Rubik-Italic[wght],IBMPlexSansArabic-Bold,0.9381,0.0619
Arabic,Rubik[wght],IBMPlexSansArabic-Bold,0.9381,0.0619
Arabic,Tajawal-Medium,"NotoSansArabicUI[wdth,wght]",0.9379,0.0621
Arabic,Zain-Bold,Almarai-Light,0.9379,0.0621
Arabic,NotoNaskhArabic[wght],BonaNovaSC-Regular,0.9379,0.0621
Arabic,NotoNaskhArabic[wght],BonaNova-Regular,0.9379,0.0621
Arabic,Amiri-Bold,Vazirmatn[wght],0.9379,0.0621
Arabic,Tajawal-Bold,PlaypenSansArabic[wght],0.9378,0.0622
