script,font_1,font_2,cosine_similarity,cosine_distance
Devanagari,Jaldi-Bold,Mukta-Regular,0.9653,0.0347
Devanagari,VesperLibre-Bold,Jaldi-Regular,0.9653,0.0347
Devanagari,AnnapurnaSIL-Bold,Halant-Light,0.9653,0.0347
Devanagari,Jaldi-Bold,EkMukta-Regular,0.9653,0.0347
Devanagari,MartelSans-Regular,Laila-Regular,0.9651,0.0349
Devanagari,MartelSans-SemiBold,Mukta-ExtraBold,0.9648,0.0352
Devanagari,MartelSans-SemiBold,EkMukta-ExtraBold,0.9648,0.0352
Devanagari,Laila-Regular,Khula-Light,0.9647,0.0353
Devanagari,NotoSansDevanagariUI-Regular,Rajdhani-SemiBold,0.9647,0.0353
Devanagari,Rajdhani-SemiBold,"NotoSans[wdth,wght]",0.9646,0.0354
Devanagari,Sarala-Bold,Khula-ExtraBold,0.9644,0.0356
Devanagari,NotoSansDevanagariUI-Regular,NotoSansDevanagariUI-ExtraLight,0.9643,0.0357
Devanagari,Karma-Regular,Mukta-Light,0.9643,0.0357
Devanagari,AnnapurnaSIL-Bold,Martel-Regular,0.9639,0.0361
Devanagari,Lohit-Devanagari,MartelSans-SemiBold,0.9639,0.0361
Devanagari,MartelSans-Bold,IBMPlexSansDevanagari-Regular,0.9637,0.0363
Devanagari,Eczar[wght],Jaldi-Regular,0.9637,0.0363
Devanagari,Lohit-Devanagari,EkMukta-SemiBold,0.9636,0.0364
Devanagari,Mukta-SemiBold,Lohit-Devanagari,0.9636,0.0364
Devanagari,MartelSans-Bold,Biryani-ExtraBold,0.9635,0.0365
Devanagari,Eczar[wght],Karma-SemiBold,0.9634,0.0366
Devanagari,Khula-Bold,Hind-Bold,0.9633,0.0367
Devanagari,PalanquinDark-Medium,Khula-ExtraBold,0.9632,0.0368
Devanagari,Sumana-Regular,Mukta-Regular,0.9631,0.0369
Devanagari,Sumana-Regular,EkMukta-Regular,0.9631,0.0369
Devanagari,Palanquin-SemiBold,IBMPlexSansDevanagari-Regular,0.9631,0.0369
Devanagari,PalanquinDark-Medium,Khula-Bold,0.963,0.037
Devanagari,Jaldi-Bold,Eczar[wght],0.963,0.037
Devanagari,EkMukta-Bold,Lohit-Devanagari,0.963,0.037
Devanagari,Mukta-Bold,Lohit-Devanagari,0.963,0.037
Devanagari,Baloo2[wght],VesperLibre-Heavy,0.9629,0.0371
Devanagari,Palanquin-Light,IBMPlexSansDevanagari-Bold,0.9629,0.0371
Devanagari,Biryani-ExtraBold,MartelSans-SemiBold,0.9629,0.0371
Devanagari,Eczar[wght],VesperLibre-Heavy,0.9628,0.0372
Devanagari,Karma-SemiBold,Sahitya-Bold,0.9627,0.0373
Devanagari,Sura-Regular,Karma-SemiBold,0.9627,0.0373
Devanagari,Palanquin-SemiBold,Glegoo-Bold,0.9626,0.0374
Devanagari,Martel-Bold,Laila-Bold,0.9626,0.0374
Devanagari,Yantramanav-Regular,Cambay-Bold,0.9626,0.0374
Devanagari,MartelSans-Regular,Mukta-Regular,0.9625,0.0375
Devanagari,MartelSans-Regular,EkMukta-Regular,0.9625,0.0375
Devanagari,Mukta-Regular,Karma-Regular,0.9623,0.0377
Devanagari,Sarala-Bold,Glegoo-Bold,0.9623,0.0377
Devanagari,EkMukta-Regular,Karma-Regular,0.9623,0.0377
Devanagari,Yantramanav-Black,Karma-Medium,0.9623,0.0377
Devanagari,Laila-Regular,Eczar[wght],0.9622,0.0378
Devanagari,Biryani-Bold,Mukta-Bold,0.9622,0.0378
Devanagari,EkMukta-Bold,Biryani-Bold,0.9622,0.0378
Devanagari,Cambay-Bold,Rajdhani-SemiBold,0.9621,0.0379
Devanagari,Mukta-Light,EkMukta-SemiBold,0.9621,0.0379
Devanagari,Mukta-SemiBold,Mukta-Light,0.9621,0.0379
Devanagari,IBMPlexSansDevanagari-SemiBold,PalanquinDark-SemiBold,0.962,0.038
Devanagari,EkMukta-Regular,Sahitya-Bold,0.9619,0.0381
Devanagari,Mukta-Regular,Sahitya-Bold,0.9619,0.0381
Devanagari,Mukta-SemiBold,MartelSans-SemiBold,0.9618,0.0382
Devanagari,MartelSans-SemiBold,EkMukta-SemiBold,0.9618,0.0382
Devanagari,EkMukta-Regular,Mukta-ExtraBold,0.9618,0.0382
Devanagari,Martel-Bold,Martel-Light,0.9618,0.0382
Devanagari,Khula-Bold,Kadwa-Bold,0.9618,0.0382
Devanagari,Mukta-Regular,EkMukta-ExtraBold,0.9618,0.0382
Devanagari,EkMukta-ExtraBold,EkMukta-Regular,0.9618,0.0382
Devanagari,Mukta-Regular,Mukta-ExtraBold,0.9618,0.0382
Devanagari,Sarala-Bold,IBMPlexSansDevanagari-Regular,0.9617,0.0383
Devanagari,Palanquin-ExtraLight,IBMPlexSansDevanagari-SemiBold,0.9615,0.0385
Devanagari,Karma-Light,"NotoSans[wdth,wght]",0.9614,0.0386
Devanagari,VesperLibre-Bold,Mukta-Light,0.9613,0.0387
Devanagari,Palanquin-Light,PalanquinDark-Regular,0.9611,0.0389
Devanagari,EkMukta-ExtraBold,Hind-Bold,0.961,0.039
Devanagari,Martel-ExtraBold,Palanquin-Medium,0.961,0.039
Devanagari,Mukta-ExtraBold,Hind-Bold,0.961,0.039
Devanagari,EkMukta-Bold,Mukta-Light,0.9609,0.0391
Devanagari,Mukta-Bold,Mukta-Light,0.9609,0.0391
Devanagari,Jaldi-Bold,Mukta-Light,0.9608,0.0392
Devanagari,Jaldi-Regular,Karma-SemiBold,0.9608,0.0392
Devanagari,Halant-SemiBold,Martel-DemiBold,0.9608,0.0392
Devanagari,MartelSans-Bold,Khula-ExtraBold,0.9607,0.0393
Devanagari,Laila-Regular,Martel-Regular,0.9607,0.0393
Devanagari,Biryani-Bold,EkMukta-SemiBold,0.9607,0.0393
Devanagari,MartelSans-Regular,Mukta-Light,0.9607,0.0393
Devanagari,Biryani-Bold,Mukta-SemiBold,0.9607,0.0393
Devanagari,Amiko-SemiBold,MartelSans-SemiBold,0.9606,0.0394
Devanagari,Khula-Bold,PalanquinDark-SemiBold,0.9606,0.0394
Devanagari,MartelSans-Regular,Lohit-Devanagari,0.9605,0.0395
Devanagari,Sahitya-Bold,Mukta-Light,0.9603,0.0397
Devanagari,Jaldi-Regular,VesperLibre-Heavy,0.9603,0.0397
Devanagari,Martel-ExtraBold,Martel-Regular,0.9602,0.0398
Devanagari,Mukta-SemiBold,Khula-Light,0.9601,0.0399
Devanagari,Khula-Light,EkMukta-SemiBold,0.9601,0.0399
Devanagari,Halant-Bold,Laila-Bold,0.96,0.04
Devanagari,AnnapurnaSIL-Bold,Laila-Bold,0.9599,0.0401
Devanagari,Biryani-Bold,Mukta-ExtraBold,0.9599,0.0401
Devanagari,Biryani-Bold,EkMukta-ExtraBold,0.9599,0.0401
Devanagari,Glegoo-Bold,PalanquinDark-Regular,0.9598,0.0402
Devanagari,MartelSans-Bold,PalanquinDark-SemiBold,0.9598,0.0402
Devanagari,Cambay-Bold,NotoSansDevanagariUI-Medium,0.9597,0.0403
Devanagari,Jaldi-Regular,Sahitya-Bold,0.9596,0.0404
Devanagari,Baloo2[wght],Karma-SemiBold,0.9594,0.0406
Devanagari,MartelSans-Bold,Palanquin-Light,0.9593,0.0407
Devanagari,AnnapurnaSIL-Bold,Martel-Light,0.9593,0.0407
Devanagari,Yantramanav-Light,Rajdhani-SemiBold,0.9591,0.0409
Devanagari,MartelSans-SemiBold,Hind-Bold,0.9591,0.0409
Devanagari,NotoSansDevanagariUI-Regular,Karma-Light,0.959,0.041
Devanagari,AnnapurnaSIL-Bold,Karma-SemiBold,0.959,0.041
Devanagari,Kadwa-Bold,Palanquin-Light,0.9588,0.0412
Devanagari,Biryani-Bold,MartelSans-Bold,0.9587,0.0413
Devanagari,Glegoo-Bold,Kadwa-Bold,0.9586,0.0414
Devanagari,Rajdhani-SemiBold,NotoSansDevanagariUI-Medium,0.9586,0.0414
Devanagari,Khand-Bold,MartelSans-Bold,0.9585,0.0415
Devanagari,AnnapurnaSIL-Bold,Laila-Regular,0.9584,0.0416
Devanagari,Palanquin-Regular,Martel-ExtraBold,0.9583,0.0417
