font_file,font_family,script,codepoint_coverage,total_glyphs,expansion_ratio,vertical_footprint,friction_score,friction_contextual_joining,friction_indic_shaping,friction_ligature_heavy,friction_mark_positioning,friction_rtl_layout
WDXLLubrifontTC-Regular.ttf,WDXL 滑油字 TC,Katakana,90,15985,12.266666666666667,1.18,2,False,False,True,True,False
WDXLLubrifontTC-Regular.ttf,WDXL 滑油字 TC,Han,12148,15985,12.692130391834047,1.18,2,False,False,True,True,False
Nikukyu-Regular.ttf,Nikukyu,Katakana,81,182,1.0,1.0,0,False,False,False,False,False
Alkatra[wght].ttf,Alkatra,Devanagari,84,1824,6.285714285714286,1.684,4,True,True,True,True,False
Alkatra[wght].ttf,Alkatra,Bengali,84,1824,6.285714285714286,1.684,4,True,True,True,True,False
Mallanna-Regular.ttf,Mallanna,Telugu,94,1234,1.8936170212765957,1.849425287356322,1,False,True,False,False,False
Finlandica[wght].ttf,Finlandica,Cyrillic,242,707,1.4462809917355373,1.2,2,False,False,True,True,False
Finlandica-Italic[wght].ttf,Finlandica,Cyrillic,242,706,1.4462809917355373,1.2,2,False,False,True,True,False
AlumniSansCollegiateOne-Italic.ttf,Alumni Sans Collegiate One,Cyrillic,92,1025,1.565217391304348,1.2,2,False,False,True,True,False
AlumniSansCollegiateOne-Regular.ttf,Alumni Sans Collegiate One,Cyrillic,92,1026,1.565217391304348,1.2,2,False,False,True,True,False
LibertinusSans-Bold.ttf,Libertinus Sans,Cyrillic,134,2592,1.0,1.14,2,False,False,False,True,True
LibertinusSans-Italic.ttf,Libertinus Sans,Cyrillic,230,2465,1.0,1.14,2,False,False,False,True,True
LibertinusSans-Regular.ttf,Libertinus Sans,Cyrillic,142,2438,1.0,1.14,2,False,False,False,True,True
NotoSansMath-Regular.ttf,Noto Sans Math,Cyrillic,64,5130,1.140625,1.492,2,False,False,False,True,True
NotoSansMath-Regular.ttf,Noto Sans Math,Arabic,62,5130,1.064516129032258,1.492,2,False,False,False,True,True
Mina-Regular.ttf,Mina,Bengali,92,927,3.119565217391304,1.59,3,True,True,False,True,False
Mina-Bold.ttf,Mina,Bengali,92,931,3.119565217391304,1.59,3,True,True,False,True,False
LXGWMarkerGothic-Regular.ttf,LXGW Marker Gothic,Cyrillic,155,15571,1.2967741935483872,1.18,3,True,False,False,True,True
