script_pair,count
"('cyrillic-ext', 'telugu')",1
"('devanagari', 'ethiopic')",1
"('devanagari', 'georgian')",1
"('devanagari', 'gujarati')",1
"('devanagari', 'gurmukhi')",1
"('devanagari', 'hebrew')",1
"('devanagari', 'khmer')",1
"('devanagari', 'lao')",1
"('devanagari', 'malayalam')",1
"('devanagari', 'sinhala')",1
"('devanagari', 'tamil')",1
"('devanagari', 'telugu')",1
"('devanagari', 'thai')",1
"('ethiopic', 'georgian')",1
"('ethiopic', 'greek')",1
"('ethiopic', 'greek-ext')",1
"('ethiopic', 'gujarati')",1
"('ethiopic', 'gurmukhi')",1
"('ethiopic', 'hebrew')",1
"('ethiopic', 'khmer')",1
"('ethiopic', 'lao')",1
"('ethiopic', 'malayalam')",1
"('ethiopic', 'oriya')",1
"('ethiopic', 'sinhala')",1
"('ethiopic', 'symbols')",1
"('ethiopic', 'tamil')",1
"('ethiopic', 'telugu')",1
"('ethiopic', 'thai')",1
"('georgian', 'greek')",1
"('georgian', 'gujarati')",1
"('georgian', 'gurmukhi')",1
"('georgian', 'hebrew')",1
"('georgian', 'khmer')",1
"('georgian', 'lao')",1
"('georgian', 'malayalam')",1
"('georgian', 'oriya')",1
"('georgian', 'sinhala')",1
"('georgian', 'tamil')",1
"('georgian', 'telugu')",1
"('georgian', 'thai')",1
"('georgian', 'vietnamese')",1
"('greek', 'gujarati')",1
"('greek', 'gurmukhi')",1
"('greek', 'khmer')",1
"('greek', 'lao')",1
"('greek', 'oriya')",1
"('greek', 'sinhala')",1
"('greek', 'telugu')",1
"('greek', 'thai')",1
"('greek-ext', 'gujarati')",1
"('greek-ext', 'gurmukhi')",1
"('greek-ext', 'khmer')",1
"('greek-ext', 'lao')",1
"('greek-ext', 'oriya')",1
"('greek-ext', 'sinhala')",1
"('greek-ext', 'telugu')",1
"('greek-ext', 'thai')",1
"('gujarati', 'gurmukhi')",1
"('gujarati', 'hebrew')",1
"('gujarati', 'khmer')",1
"('gujarati', 'lao')",1
"('gujarati', 'malayalam')",1
"('gujarati', 'oriya')",1
"('gujarati', 'sinhala')",1
"('gujarati', 'tamil')",1
"('gujarati', 'telugu')",1
"('gujarati', 'thai')",1
"('gurmukhi', 'hebrew')",1
"('gurmukhi', 'khmer')",1
"('gurmukhi', 'lao')",1
"('gurmukhi', 'malayalam')",1
"('gurmukhi', 'oriya')",1
"('gurmukhi', 'sinhala')",1
"('gurmukhi', 'symbols')",1
"('gurmukhi', 'tamil')",1
"('gurmukhi', 'telugu')",1
"('gurmukhi', 'thai')",1
"('hebrew', 'khmer')",1
"('hebrew', 'lao')",1
"('hebrew', 'malayalam')",1
"('hebrew', 'oriya')",1
"('hebrew', 'sinhala')",1
"('hebrew', 'tamil')",1
"('hebrew', 'telugu')",1
"('hebrew', 'thai')",1
"('khmer', 'lao')",1
"('khmer', 'malayalam')",1
"('khmer', 'oriya')",1
"('khmer', 'sinhala')",1
"('khmer', 'symbols')",1
"('khmer', 'tamil')",1
"('khmer', 'telugu')",1
"('khmer', 'thai')",1
"('khmer', 'vietnamese')",1
"('lao', 'malayalam')",1
"('lao', 'oriya')",1
"('lao', 'sinhala')",1
"('lao', 'symbols')",1
"('lao', 'tamil')",1
"('lao', 'telugu')",1
"('lao', 'thai')",1
"('lao', 'vietnamese')",1
"('malayalam', 'oriya')",1
"('malayalam', 'sinhala')",1
"('malayalam', 'symbols')",1
"('malayalam', 'telugu')",1
"('malayalam', 'thai')",1
"('oriya', 'sinhala')",1
"('oriya', 'symbols')",1
"('oriya', 'tamil')",1
"('oriya', 'telugu')",1
"('oriya', 'thai')",1
"('sinhala', 'symbols')",1
"('sinhala', 'tamil')",1
"('sinhala', 'telugu')",1
"('sinhala', 'thai')",1
"('symbols', 'tamil')",1
"('symbols', 'telugu')",1
"('symbols', 'thai')",1
"('tamil', 'telugu')",1
"('tamil', 'thai')",1
"('telugu', 'thai')",1
"('adlam', 'canadian-aboriginal')",1
"('adlam', 'cherokee')",1
"('adlam', 'math')",1
"('adlam', 'old-permic')",1
"('adlam', 'symbols')",1
"('adlam', 'symbols2')",1
"('adlam', 'syriac')",1
"('adlam', 'vietnamese')",1
"('arabic', 'tamil')",1
"('latin', 'ottoman-siyaq-numbers')",1
"('canadian-aboriginal', 'old-permic')",1
"('canadian-aboriginal', 'symbols2')",1
"('devanagari', 'math')",1
"('kannada', 'vietnamese')",1
"('cherokee', 'old-permic')",1
"('chinese-simplified', 'symbols2')",1
"('cherokee', 'symbols2')",1
"('gothic', 'greek')",1
"('gothic', 'greek-ext')",1
"('gothic', 'hebrew')",1
"('gothic', 'old-italic')",1
"('gothic', 'runic')",1
"('math', 'old-permic')",1
"('greek', 'old-italic')",1
"('greek-ext', 'old-italic')",1
"('old-permic', 'symbols')",1
"('old-permic', 'symbols2')",1
"('old-permic', 'syriac')",1
"('old-permic', 'vietnamese')",1
"('hebrew', 'old-italic')",1
"('hebrew', 'runic')",1
"('symbols2', 'syriac')",1
"('old-italic', 'runic')",1
"('canadian-aboriginal', 'nushu')",1
"('canadian-aboriginal', 'tifinagh')",1
"('cherokee', 'nushu')",1
"('cherokee', 'tifinagh')",1
"('runic', 'vietnamese')",1
"('chinese-hongkong', 'cyrillic-ext')",1
"('math', 'nushu')",1
"('math', 'tifinagh')",1
"('nushu', 'symbols')",1
"('nushu', 'syriac')",1
"('nushu', 'tifinagh')",1
"('nushu', 'vietnamese')",1
"('symbols', 'tifinagh')",1
"('syriac', 'tifinagh')",1
"('tifinagh', 'vietnamese')",1
"('chinese-hongkong', 'greek')",1
"('cyrillic-ext', 'korean')",1
"('greek', 'korean')",1
"('greek-ext', 'korean')",1
"('arabic', 'armenian')",1
"('chinese-hongkong', 'symbols2')",1
"('armenian', 'bengali')",1
"('armenian', 'canadian-aboriginal')",1
"('armenian', 'devanagari')",1
"('armenian', 'ethiopic')",1
"('armenian', 'georgian')",1
"('armenian', 'gujarati')",1
"('armenian', 'gurmukhi')",1
"('armenian', 'khmer')",1
"('armenian', 'lao')",1
"('cyrillic', 'kayah-li')",1
"('cyrillic-ext', 'kayah-li')",1
"('greek', 'kayah-li')",1
"('greek-ext', 'kayah-li')",1
"('armenian', 'malayalam')",1
"('armenian', 'oriya')",1
"('kayah-li', 'vietnamese')",1
"('armenian', 'sinhala')",1
"('armenian', 'tamil')",1
"('armenian', 'telugu')",1
"('armenian', 'thai')",1
"('bengali', 'canadian-aboriginal')",1
"('kirat-rai', 'latin')",1
"('beria-erfe', 'latin')",1
"('bengali', 'cyrillic')",1
"('bengali', 'cyrillic-ext')",1
"('bengali', 'ethiopic')",1
"('bengali', 'georgian')",1
"('bengali', 'greek')",1
"('bengali', 'greek-ext')",1
"('bengali', 'gujarati')",1
"('bengali', 'gurmukhi')",1
"('bengali', 'hebrew')",1
"('bengali', 'khmer')",1
"('bengali', 'lao')",1
"('bengali', 'malayalam')",1
"('bengali', 'sinhala')",1
"('bengali', 'symbols')",1
"('bengali', 'tamil')",1
"('bengali', 'telugu')",1
"('bengali', 'thai')",1
"('gunjala-gondi', 'math')",1
"('gunjala-gondi', 'symbols')",1
"('canadian-aboriginal', 'cyrillic')",1
"('canadian-aboriginal', 'cyrillic-ext')",1
"('latin', 'music')",1
"('latin-ext', 'music')",1
"('anatolian-hieroglyphs', 'latin')",1
"('anatolian-hieroglyphs', 'latin-ext')",1
"('avestan', 'latin')",1
"('avestan', 'latin-ext')",1
"('canadian-aboriginal', 'devanagari')",1
"('canadian-aboriginal', 'ethiopic')",1
"('bamum', 'latin')",1
"('bamum', 'latin-ext')",1
"('bassa-vah', 'latin')",1
"('bassa-vah', 'latin-ext')",1
"('batak', 'latin')",1
"('batak', 'latin-ext')",1
"('bhaiksuki', 'latin')",1
"('bhaiksuki', 'latin-ext')",1
"('brahmi', 'latin')",1
"('brahmi', 'latin-ext')",1
"('brahmi', 'math')",1
"('brahmi', 'symbols')",1
"('buginese', 'latin')",1
"('buginese', 'latin-ext')",1
"('buhid', 'latin')",1
"('buhid', 'latin-ext')",1
"('carian', 'latin')",1
"('carian', 'latin-ext')",1
"('caucasian-albanian', 'latin')",1
